2019-10-18 16:00:52 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-18 16:00:53 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-18 16:00:53 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-18 16:00:53 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-18 16:00:53 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 180.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-18 16:00:54 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-18 16:00:54 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-18 16:00:54 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-18 16:00:54 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-18 16:00:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 943.0; Tile: ROAD
2019-10-18 16:00:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 942.0; Tile: ROAD
2019-10-18 16:00:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,7; Parcels:      0; Health: 175.0; Health Usage: 200.0; Fuel: 941.0; Tile: ROAD
2019-10-18 16:00:55 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  10,7; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
2019-10-18 16:00:56 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  10,7; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
2019-10-18 16:00:56 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  10,7; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
2019-10-18 16:00:56 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,7; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 939.0; Tile: ROAD
2019-10-18 16:00:56 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,7; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 938.0; Tile: ROAD
2019-10-18 16:00:57 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  12,6; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 937.0; Tile: ROAD
2019-10-18 16:00:57 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  12,5; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 936.0; Tile: ROAD
2019-10-18 16:00:57 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  12,4; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 935.0; Tile: ROAD
2019-10-18 16:00:57 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  12,3; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 934.0; Tile: ROAD
2019-10-18 16:00:58 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 170.0; Health Usage: 200.0; Fuel: 933.0; Tile: ROAD
2019-10-18 16:00:58 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:00:58 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:00:58 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:00:59 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:00:59 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:00:59 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:00:59 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:00 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:00 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:00 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:00 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:01 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:01 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:01 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:01 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:02 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:02 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:02 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:02 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:03 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:03 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:03 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:03 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:04 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-18 16:01:04 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 165.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
